# Time     Valence0    Valence1     Valence2     Valence3     Valence4     Valence5     Valence6
6.140000000000000000e+04 5.802469135802468952e-02 4.382716049382716084e-01 4.753086419753086433e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.150000000000000000e+04 5.802469135802468952e-02 4.382716049382716084e-01 4.753086419753086433e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.160000000000000000e+04 5.802469135802468952e-02 4.382716049382716084e-01 4.753086419753086433e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.170000000000000000e+04 5.802469135802468952e-02 4.382716049382716084e-01 4.753086419753086433e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.180000000000000000e+04 5.802469135802468952e-02 4.358024691358024505e-01 4.777777777777778012e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.190000000000000000e+04 5.802469135802468952e-02 4.358024691358024505e-01 4.777777777777778012e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.200000000000000000e+04 5.802469135802468952e-02 4.358024691358024505e-01 4.777777777777778012e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.210000000000000000e+04 5.802469135802468952e-02 4.358024691358024505e-01 4.777777777777778012e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.220000000000000000e+04 5.802469135802468952e-02 4.358024691358024505e-01 4.777777777777778012e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.230000000000000000e+04 5.802469135802468952e-02 4.358024691358024505e-01 4.777777777777778012e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.240000000000000000e+04 5.802469135802468952e-02 4.333333333333333481e-01 4.802469135802469036e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e+04 5.802469135802468952e-02 4.333333333333333481e-01 4.802469135802469036e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.260000000000000000e+04 5.802469135802468952e-02 4.333333333333333481e-01 4.802469135802469036e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
