# Time     Monomers    Dimers     Chains     Loops     Gels/Branchedchains
8.240000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.250000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.260000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.270000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.280000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.290000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.300000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.310000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.320000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.330000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.340000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.350000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.360000000000000000e+04 1.650000000000000078e-01 2.550000000000000044e-01 4.109999999999999765e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.370000000000000000e+04 1.610000000000000042e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.380000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.390000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.400000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.410000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.420000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.430000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.440000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.450000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.460000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.470000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.480000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.490000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.500000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.510000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.520000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.530000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.540000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
